,size1,channels1,size2,channels2,mean,std
0,4,48,4,48,1.0,0.0
1,4,48,4,192,0.6318041644093682,0.029960743068484983
2,4,48,4,768,0.9546912604708327,0.0034408808550893477
3,4,48,4,3072,0.9819852362517189,0.00463543103552815
4,4,48,8,12,0.40741643569528924,0.04769155949132932
5,4,48,8,48,0.362437921063596,0.027116377156566472
6,4,48,8,192,0.5727872257818689,0.017626565764709393
7,4,48,8,768,0.9533711382758978,0.003617699386822708
8,4,48,16,3,0.6152487139650855,0.09246233957530188
9,4,48,16,12,0.38180822511954804,0.04375434506017821
10,4,48,16,48,0.3205824500648935,0.01961509840991123
11,4,48,16,192,0.5603309356133639,0.012071303794753976
12,4,48,128,3,0.3234395712854224,0.035570607648215485
13,4,192,4,192,1.0,0.0
14,4,192,4,768,0.9483430076512349,0.0012867286740107435
15,4,192,4,3072,0.9820919001648893,0.005142969093697742
16,4,192,8,12,0.6631193161999446,0.034350810257022246
17,4,192,8,48,0.6091361983936834,0.0214645835276461
18,4,192,8,192,0.5481264960832558,0.008341741576004435
19,4,192,8,768,0.9495893535929341,0.0023308844050613582
20,4,192,16,3,0.7785535721489059,0.061409619821169895
21,4,192,16,12,0.6133854413919466,0.03182565504079368
22,4,192,16,48,0.5538514276425881,0.015269007434966182
23,4,192,16,192,0.5383796745442706,0.005226458583195117
24,4,192,128,3,0.5694249426595414,0.03563201227235731
25,4,768,4,768,1.0,0.0
26,4,768,4,3072,0.9883704957048469,0.005445241483258909
27,4,768,8,12,0.9565087940653585,0.003621107218385687
28,4,768,8,48,0.9502263485794094,0.002201238275237462
29,4,768,8,192,0.9436525666286092,0.0011746078394156397
30,4,768,8,768,0.9754463895741174,0.0015571191608804522
31,4,768,16,3,0.9707831112407074,0.0069098960906296735
32,4,768,16,12,0.9507271289523511,0.0038891628436625763
33,4,768,16,48,0.9451518475325954,0.0019411989023871256
34,4,768,16,192,0.9426079086752764,0.0010889791327332217
35,4,768,128,3,0.9493360365856969,0.007752906427775566
36,4,3072,4,3072,1.0,0.0
37,4,3072,8,12,0.9845765142813139,0.004385838472374426
38,4,3072,8,48,0.9816986682518823,0.0048637701066599134
39,4,3072,8,192,0.9802658527141768,0.006268190520053215
40,4,3072,8,768,0.9889541288613353,0.005195129371821173
41,4,3072,16,3,0.9890931773369833,0.00360982724727153
42,4,3072,16,12,0.9810947658619094,0.005622193002898692
43,4,3072,16,48,0.9787730159956679,0.00607275753295676
44,4,3072,16,192,0.9794978192119144,0.006498132782690732
45,4,3072,128,3,0.9779749759441888,0.00676069118469095
46,8,12,8,12,1.0,0.0
47,8,12,8,48,0.6119744694575864,0.029113449928286964
48,8,12,8,192,0.7624356684751704,0.022823207641750224
49,8,12,8,768,0.9701838197949365,0.003002015545522368
50,8,12,16,3,0.4846788502285914,0.1645315517919697
51,8,12,16,12,0.2576643254752248,0.06772902841870353
52,8,12,16,48,0.3778085817228563,0.06122406999078958
53,8,12,16,192,0.6033935962318482,0.03783313998128718
54,8,12,128,3,0.21223450397484536,0.08062797505976123
55,8,48,8,48,1.0,0.0
56,8,48,8,192,0.6660251327517143,0.01371056449757568
57,8,48,8,768,0.9614437423587009,0.0026983321181113765
58,8,48,16,3,0.6387789494207783,0.07979598862291816
59,8,48,16,12,0.4022076515072073,0.03721701337711635
60,8,48,16,48,0.3251313509885344,0.0253173693885811
61,8,48,16,192,0.5701746275556573,0.01643731731965601
62,8,48,128,3,0.3145772001531258,0.02345697855969863
63,8,192,8,192,1.0,0.0
64,8,192,8,768,0.9514013806987528,0.002046441004832975
65,8,192,16,3,0.7935673927403808,0.05932593071060747
66,8,192,16,12,0.6465751529377243,0.0331668965089728
67,8,192,16,48,0.5706592044654777,0.01743150322170538
68,8,192,16,192,0.5433712452772447,0.005560593356494288
69,8,192,128,3,0.5957212131386131,0.05948080684422599
70,8,768,8,768,1.0,0.0
71,8,768,16,3,0.9733809438094149,0.00706574774996198
72,8,768,16,12,0.9570103618617172,0.0037471595571888236
73,8,768,16,48,0.9511082962607084,0.002499659840162974
74,8,768,16,192,0.9486697031447504,0.0018729192484783937
75,8,768,128,3,0.9546392343460776,0.010239779155498206
76,16,3,16,3,1.0,0.0
77,16,3,16,12,0.744466093345202,0.039347086020820904
78,16,3,16,48,0.7933305480728958,0.03475678752751661
79,16,3,16,192,0.8468273782044945,0.025295978241758697
80,16,3,128,3,0.09430894962711454,0.06171034635128346
81,16,12,16,12,1.0,0.0
82,16,12,16,48,0.6312818895959167,0.01960981900531073
83,16,12,16,192,0.7683668020381769,0.011563769316137618
84,16,12,128,3,0.2290551160208969,0.10438429120540452
85,16,48,16,48,1.0,0.0
86,16,48,16,192,0.6431551800659544,0.008612777303110473
87,16,48,128,3,0.34851548097026064,0.0759059267187278
88,16,192,16,192,1.0,0.0
89,16,192,128,3,0.6076723907006143,0.06324310641023516
